class,description,numbers
Поддержка по отзывам,удаление отзыв удалить отзыв компания одежда данный пользователь являться клиент клиентский покупать дополнение видео запретить,15
Atlassian,возможность обратиться офисный поддержка возможность обратиться офисный поддержка,8
Поддержка товаров,товар появиться возможность размещать товар файл встать трудность категория сделать правильно попробовать выходить файл категория,15
Atlassian,работать джир тёплый вечером отвалиться джир крайне починить,8
Поддержка по отзывам,отзыв соответсвовать реальность компания оставить отзыв компания ответить отзыв течение обратный связь скрыть данный отзыв автор отзыв объявиться история аккаунт видно создать отзыв,23
Личный Кабинет,доступ лк коллега скинта доступ лк ведущий менеджер группа продажа,10
Поддержка товаров,витрина ценник реализовать витрина возможность цена указывать прописывать час,9
Группа Digital,профессиональный академия наращивание ресн сделать расчёт вложение завести уважение бизнес специалист отдел коммерция,13
Личный Кабинет,студия ателье багет фотография срочно необходимо добавить доступ личный кабинет клиент добавить фотография информация скидка огромный заранее зинкеева менеджер клиентский сервис,21
Группа корректуры РМ,заявка модерация графический реклама коллега проверить баннер заставка пересборка,9
Группа корректуры РМ,заявка модерация графический реклама согласовать клиент выглядеть баннер мобильный версия одобрить срочный порядок заранее,14
API,некорректный отображение сайт партн сентябрь текущий рекламодатель становиться клиент дать продажа выстроиться партн рский клиент нравиться транслировать иметься информация клиент данный обнаружить следующий находиться новопеределкино запрос получать следующий резьтат находиться будущий рекламодатель высвечиваться компания физически представить рд являться измениться ситуация сентябрь клиент стать рд ситуация следующий запрос новопеределкино высвечиваться абсолютно никакой информация район называться существовать возможность добавить выдача,58
API,карта стоить задача дать пользователь возможность карта выбрать соответственно получить браузер взгляд сделать,13
API,запрос интеграция карта сайт звать контент менеджер фитнес клуб возможный интеграция карта сайт конкретный являться отображение расположение клиент фитнес клуб,20
Личный Кабинет,личный кабинет добавить компания личный кабинет принт тография появиться личный кабинет санаторий рекламный производственный компания чеботарёв маркетолог франчайзи пр,19
Fiji,сохранение атрибутивный информация проблёмкий сохранение объект,6
Группа Digital,сумка коллега дать ноябрь добавить расширение яндекс бюджет текушие вложение,10
Группа Digital,загружаться информация коллега помочь получаться загрузить информация щковый менеджер реализация проект,11
CRM отдел,убрать клиент технониколь убрать карточка рекламный материал компания кровельный материал северсталь поскольку кровельный материал северсталь поставлять товар данный являться партнёр данный случай технониколь размещаться реклама конкурент противоречить размещение реклама список карточка разместить реклама вложение уважение стадникнуть менеджер клиент,38
Поддержка по отзывам,удалить отзыв компания сервис сервисный удалить отзыв компания являться рд слово рд клиент отзыв оставить конкурент рд за обратный связь ответ поступить,22
Поддержка товаров,цена аптека компания фармдисконт аптечный отключить подгрузка цена росфарма город приходить негативный отзыв данные товар наличие тд отключить цена город,20
Atlassian,поменять порядок стран конфлюенс заходить сюда конфлюенс раскрывать дерево стран находить архив перемещать самый дерево кнопка сохранить предполагать происходить динамически любой изменение ожидать резьтат заходить стран конфлюенс структура стран спейс стран архив отображаться последний фактический резьтат дерево стран архив находиться место делать,42
Телекомунникация и связь,проблема телефония коллега проблема телефония номер город номер добавочный срк описание проблема телефония мобильный клиент слышать оператор приходиться перезванивать единичный случай ведущий специалист справочный производство,25
CRM отдел,перевод фирма регион перевести фирма тк лпр находиться та,9
Fiji,падать вылететь открытие выдавать удалить компьютер ставить помогать помочь пжт вернуть компьютер приложить,13
Личный Кабинет,триал спорт лк предоставить клиент доступ лк редактирование информация фотография клиент менеджер клиент,13
IR,инфораша шишмановый прежний работать инфораша телефония,6
Телекомунникация и связь,добавить номер телефон рассылка саппорт колл центр поступать клиент разом звонить номер ргп добавить номер телефон рассылка байд сделать аналогия телефон бц,22
API,определение координата версия апи возможность получение координата объект название апи возможность версия,12
API,реализация апи сайт клиент клиент готовый разместить сайт карта скрин сайт размещать объект продажа вопрос вопрос обсудить реализовать подводный обязательно размещение объект ещечто продажа,24
Поддержка по отзывам,неадекватный отзыв карточка убрать неадекватный отзыв карточка клиент личность данный отзыв сильно влиять мнение клиент взять реклама отзыв пропустить возможно скрыть удалить,22
Телекомунникация и связь,объединить вичидайле удобство снятие статистика детализация заранее клиент направление входящий,10
Fiji,получение геообъект выходить нажатие редактирование объект минута выходить невозможно сохранить объект,11
Поддержка товаров,загружаться товар мт техно федеральный инжиниринговый официальный партнёр,8
Телекомунникация и связь,возврат основный причина воссатволение основный поменять город,7
CRM отдел,реестр фнс постановка заказ утверждение вылезать сообщение проверить юрлицо снятой учёт огрн сообщение появляться,14
Fiji,статистика актуализировать список город проект присутствовать список проект отчёт обновить информация пожелание ведущий инженер технолог,15
API,встроить схема сайт отправитель платформа браузер оценка вложить файл,9
Группа Digital,блокировать приоритет коллега проверка заказ сборка выйти блокировать минимальный заказ текущий делать проверить фирма бюджет бюджет выставить рекомендовать код номер заказ город город назначение менеджер фирма лицо заказчик резьтат проверка фианит федеральный фианит позиция приоритет рубрика указать минимальный финанс автоломбард позиция приоритет рубрика указать минимальный эстетический медицина мц позиция приоритет рубрика услуга косметолог указать минимальный эстетический медицина мц позиция приоритет рубрика центр диетология нутрициология указать минимальный эстетический медицина мц позиция приоритет рубрика услуга массажист указать минимальный леди текстильный декор позиция приоритет рубрика портьерный ткань штора указать минимальный леди текстильный декор позиция приоритет рубрика ткань указать минимальный оптовый розничный позиция приоритет рубрика указать минимальный мехамания одежда юриевич позиция приоритет рубрика дубла нки указать минимальный вмаска рф карнавальный костюм товар энерджи позиция приоритет рубрика сценический карнавальный костюм аксессуар указать минимальный центр экстрим клуб экстремальный техника экстрим клуб мото позиция приоритет рубрика спортивный инвентарь указать минимальный чарай автосалон официальный дилер уральскийтехнический центр позиция приоритет рубрика продажа легковой автомобиль указать минимальный чарай автосалон официальный дилер уралтехцентр позиция приоритет рубрика продажа легковой автомобиль указать минимальный,170
Поддержка товаров,товар отправлять файл товар товар дать рубрика открыть интересовать компания мдрегион рубрика металлоискатель снаряжение туризм отдых велосед мототехнка товар товар автоприцеп оптический спортивный техника инвентарь техника спортивный инвентарь скоро товар разместить появиться продукт специалист клиент оф,36
API,статистика июнь менеджер клиент бизнес центр тверьгеофизик пр ый подъезд оф войти топ интернет компания версия представлять версия сервис войти список бесплатный приложение топ работодатель версия,26
Atlassian,проект джир сделать реорганизация джир проект срочно правильно планировать релиз разный команда назначать компонент джир проект джир необходимо текущий проект данный трогать завести джир настройка процесс сделать админ проект код руководитель проект категория проект,34
IR,структура структура разный название карточка эф эс экспедиционный компания карточка компания эф эс разный расположение тело тело фактический адрес адрес,20
CRM отдел,завести заказ коллега завести фирма юметек пункт приём металл отработать аккумятор заказ завести позиция пакет возможность поставить галочка скрин рассмотреть данный обращение приоритетный порядок завтра утром должный подписать документ заранее благодарить коммерческий мансийск мансийск офис тоц,36
IR,инфораша коллега инфораша открываться высылать скрин диагностика написать помощь клиент,10
Группа Digital,компания производство светодиодный светильник возвращение необходимо просчитать срс диджитал рубрика светотехник,11
Группа корректуры РМ,заявка модерация текстовый реклама исправить ссылка одобрить,7
Телекомунникация и связь,настройка кампания скилла группа настроить логика приём кампания инфораша входящий проверка номер кампания входящий скилла проверка номер логика следующий основный группа принимать пункт скилла группа принимать пункт префикс город определить пункт определённый префикс принимать поступать кампания скилла группа оператор занятый клиент находиться режим ожидание далее переводиться кампания группа обрабатывать оператор порядок очередь оператор группа занятый клиент находиться режим ожидание далее ответ переводиться обратно кампания скилла группа клиент направление входящий сити,70
Группа корректуры РМ,брендирование коллега город компания номер одобрить позиция брендирование дать отобразить корректно финальный продукт клиент важно транслироваться данный логот использовать рекламный заранее благодарить кургальжинский бизнес центр,25
CRM отдел,объединить карточка объединить карточка резерв клиент чинаесть куратор фирма сделать заранее,11
Fiji,запускаться запускаться появляться следующий содержание запуск приложение невозможный обратиться поставщик приложение проблема наблюдаться пользователь,14
Группа корректуры РМ,заявка модерация текстовый реклама проверить ссылка понятно,7
Поддержка товаров,витрина срочно рассмотреть вопрос кмпаний витрина проблема указать получение заявка заявка приходить исправить скоро исправить специалист отдел франчайзи,18
Fiji,релиз ребята ставить релиз недоступный нск сообщить пользователь команда,9
IR,рекламодатель город инфораша сборка появляться фиктивный карточка случай однократный триал спорт специализировать спортивный зао представительство концерн инфораша карточка скрытый посмотреть дело менеджер клиент марксистский дать появиться рамблер карта представлять конструктор виджет карта фирма город показать достопримечательность,36
Atlassian,добавить репозиторий добавить следующий репозиторий разработчик,6
CRM отдел,обособленный подразделение документ заказ договор счёт фактура дополнительно основный юрлицо писать обособленный подразделение вложение письмо создание обособленный подразделение общество ограниченный ответственность феррум трейд франчайзи бц напоминать изменение выпуск следующий приниматься число,31
API,карта сайт документация карта сайт добавить опция проложить маршрут приёмный комиссия фгбоу гау,13
Поддержка по отзывам,объяснение удалить отзыв проект фирма перспектива февраль клиент оставить положительный отзыв конкретный сотрудник компания причина отзыв небыть опубликовать причина,19
Группа корректуры РМ,заявка модерация графический реклама проверить разместить рекламный материал,8
Личный Кабинет,дать лк отправить исходный сообщение вт дать лк обратиться саппорт дать лк вопрос лк запрос попасть прочее рд счастие пользоваться лк пользоваться рождать вопрос эксперт реклама нижегородский новгород керченский бц,30
Поддержка по отзывам,удалённый отзыв чашка кофе коллега провести компания чашка кофе автомойка данный клиент готовый размещаться клиент позвонить сообщить удалить положительный отзыв оставить реальный клиент владелец поставить задача администратор собирать отзыв готовый вообще сотрудничать тратить личный разбирательство компания отзыв оставить реальный клиент сообщить обязательство общение модерация личный менеджер брать поэтому ещ рассмотреть свежий нный отзыв ждать обратный связь,56
Export buildman,выполнение задача утилит сборка выполнение задача утилит,7
API,партнёр апи уважаемый техподдержка заполнить заявка апи фирма выдать тестовый ответ выслать контакт указанный анкета,15
Fiji,терять хоз сделать автосалон поиск искать адрес графический информация отображаться скрин перезагрузка помочь изменение крск,15
CRM отдел,перевод фирма регламент перевести фирма максидом гермаркет отделочный материал запуск рк рекламный агентство проконтекст реквизит вложение,16
Поддержка по отзывам,отзыв остаться ответ удалить отзыв компания автосервис пользователь отзыв удалённый вновь появиться видимо конкурент пользователь инкогнито запрос обратный связь декабрь клиент выйти связь,23
Export buildman,блокировать модь экспорт фатальный выполнение задача задача сервис,8
Поддержка товаров,личный кабинет компания рубрика продажа легковой автомобиль авторемонт техобслуживание сто ремонт ходовой часть автомобиль ремонт мкпп ремонт бензиновый город позиция витрина лк клиент подгрузить товар город карточка рубрика витрина,29
Поддержка товаров,удалить клиент товар цена клиент удалить товар карточка комиссионщик комиссионный товар,11
Export buildman,запускаться билдман пересборка перестать открываться билдман скриншот прилагать,8
CRM отдел,перевести фирма перевести фирма автомойка кафе широта крепёж инструмент добавлять зацепка,11
Группа Digital,туристский информационный ноябрь планироваться проведение совместный форум данный форум выступать кгу туристский информационный акмолинский область компания предлагать выступить партнёр навигационный информационный сопровождение форум оперативный поддержка форум рассмотреть возможность установка кнопка экран онлайн мобильный версия рекомендовать ресторан кафе контактный информация форум предоставить возможный вариант решение потребность форум рассчитать бюджет данный решение,50
Export buildman,запуск билдмэн запуск былдмэн выходить сообщение произойти произойти трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек исключение трассировка стек исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение исключение произойти трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек исключение исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение,122
Atlassian,доступ пользователь попасть остальной сервис тд входить проблема проблема,9
Телекомунникация и связь,замена номер произвести замена номер закрываться инфораша связь данный номер попасть рный список дозвониться пробовать перезванивать компания личный номер сразу дозваниваться больший решить данный вопрос подходить цикл выверка дозвониться заранее благодарить руководитель центр клиентский сервис,35
API,заявка партнёр компания экодом страна город ресурс использоваться сайт количество уникальный пользователь представитель должность телефон обработать заявка перейти ссылка апи,21
CRM отдел,запрос поддержка перекинуть служебный хачапурный кафе питание айдать администратор учёт продажа осоо два бишкек бишкек,15
Телекомунникация и связь,группа дозвон имягруппа удалить добавить жамлихан фаридович специалист поддержка,9
Export buildman,выполнение задача утилит код коллега сборка постоянно возникать выполнение задача утилит код частый частый запуск иной удачно онлайн собираться полтора час сбрасываться превращаться сборка час нормально вообще тикета прошлый,29
Поддержка товаров,удаление удалить карточка рд сделать,5
Поддержка по отзывам,отзыв компания партнёр уважаемый коллега знать клиент решение данный вопрос ранее обращаться удалить отзыв пользователь пользователь оставлять комментарий существовать действительность компания запрашивать дать подтверждение ответ бороться отзыв компания устать возможность заблокировать данный пользователь отношение карточка партнёр отзыв сразу удаляться данный пользователь дать рекомендация дать вопрос клиент вовсе отказаться реклама заранее,50
Личный Кабинет,личный кабинет целый акция личный кабинет загрузить скрин прикладывать эксперт реклама акц сити,13
Группа Digital,априори мебельный запустить клиент яндекс спец размещение,7
API,сообщение сайт бесплатный апи бизнес многопользовательский онлайн игрок выбирать место действие район карта привлекать апи получить здание апокалсис игрок выбирать отправить отряд разведать выбирать продуктовый карта вкратце бесплатно сделать яндекс карта неудобно искать получить доступ апи бесплатно лимит час игрок карта игрок вложить файл,44
Личный Кабинет,доступ лк клиент проблема доступ лк выслать ссылка клиент заранее,10
IR,исправить фирма билайн оператор связь интернет провайдер блокировать карточка скрыть вместо переименовать билайн оператор связь интернет провайдер карточка соответственно поменяться пересохранить файлик карточка ьяновск ьяновск,25
Группа корректуры РМ,заявка модерация текстовый реклама провести внеочередной модерация текстовый рм заранее,10
